"cep" "long" "lat"
80250980 -49.27781 -25.45119
80250981 -49.27781 -25.45119
80310000 -49.30696 -25.45481
80310010 -49.31129 -25.46048
80310020 -49.31035 -25.4475
80310030 -49.31248 -25.4491
80310050 -49.31316 -25.45067
80310060 -49.31208 -25.45034
80310070 -49.31132 -25.44918
80310080 -49.30884 -25.44907
80310100 -49.30874 -25.4476
80310110 -49.31097 -25.46139
80310120 -49.3118 -25.46277
80310130 -49.30907 -25.46309
80310140 -49.30631 -25.46343
80310145 -49.30696 -25.45481
80310150 -49.30357 -25.46373
80310160 -49.30384 -25.45927
80310170 -49.30504 -25.45964
80310180 -49.30623 -25.45997
80310200 -49.30774 -25.45942
80310210 -49.30685 -25.46016
80310220 -49.30843 -25.46121
80310230 -49.30894 -25.45977
80310240 -49.30784 -25.4639
80310250 -49.31079 -25.45832
80310260 -49.31162 -25.45956
80310270 -49.31283 -25.45992
80310280 -49.31311 -25.46099
80310290 -49.31335 -25.46209
80310300 -49.31431 -25.46134
80310310 -49.3149 -25.46152
80310320 -49.31679 -25.45809
80310330 -49.31644 -25.46098
80310340 -49.31797 -25.45845
80310350 -49.3173 -25.46222
80310360 -49.30215 -25.46398
80310370 -49.31755 -25.46332
80310380 -49.31816 -25.46351
80310390 -49.31893 -25.46483
80310400 -49.31968 -25.46504
80310410 -49.31079 -25.45832
80310420 -49.31114 -25.45732
80310430 -49.3103 -25.45597
80310440 -49.31464 -25.45658
80310450 -49.31361 -25.45585
80310470 -49.31067 -25.45497
80310480 -49.3104 -25.45383
80310490 -49.3104 -25.45383
80310520 -49.3064 -25.45199
80310530 -49.30873 -25.45217
80310540 -49.30696 -25.45481
80310580 -49.30784 -25.45121
80310590 -49.30632 -25.45038
80310610 -49.30947 -25.4501
80310620 -49.31024 -25.45116
80310630 -49.30994 -25.45074
80310640 -49.31103 -25.44997
80310650 -49.31592 -25.46233
80310680 -49.31554 -25.46338
80310981 -49.30696 -25.45481
80320000 -49.29682 -25.46121
80320010 -49.28971 -25.4551
80320020 -49.29312 -25.45496
80320030 -49.29438 -25.45668
80320040 -49.2946 -25.45781
80320050 -49.29682 -25.46121
80320060 -49.29967 -25.45867
80320070 -49.29508 -25.46002
80320080 -49.29991 -25.45979
80320090 -49.29533 -25.46119
80320100 -49.29555 -25.46225
80320110 -49.29682 -25.46121
80320114 -49.29682 -25.46121
80320120 -49.29581 -25.4635
80320130 -49.30054 -25.46413
80320140 -49.29346 -25.46483
80320150 -49.29362 -25.46555
80320160 -49.29205 -25.46634
80320170 -49.29367 -25.46623
80320180 -49.29528 -25.46741
80320190 -49.29374 -25.46859
80320200 -49.29674 -25.46776
80320210 -49.29043 -25.45856
80320220 -49.29051 -25.45744
80320230 -49.29222 -25.46281
80320240 -49.29253 -25.46047
80320250 -49.29528 -25.46741
80320260 -49.29381 -25.46024
80320270 -49.29482 -25.45888
80320280 -49.29661 -25.46716
80320290 -49.29609 -25.45867
80320300 -49.30112 -25.46236
80320310 -49.29787 -25.46075
80320320 -49.29682 -25.46121
80320330 -49.29991 -25.45979
80320340 -49.3009 -25.45846
80320350 -49.30305 -25.45604
80320370 -49.29597 -25.46954
80320380 -49.29635 -25.46906
80320390 -49.29941 -25.45587
80330000 -49.30696 -25.46949
80330001 -49.30417 -25.46949
80330010 -49.30095 -25.46739
80330020 -49.30177 -25.46878
80330030 -49.30696 -25.46949
80330040 -49.30417 -25.46949
80330050 -49.30536 -25.46984
80330060 -49.30766 -25.46712
80330070 -49.30575 -25.47224
80330072 -49.30696 -25.46949
80330080 -49.30847 -25.4685
80330090 -49.3104 -25.46681
80330100 -49.30789 -25.4701
80330110 -49.30971 -25.47149
80330120 -49.30938 -25.46961
80330130 -49.31011 -25.46901
80330140 -49.31231 -25.46847
80330150 -49.31393 -25.46893
80330160 -49.31562 -25.4694
80330170 -49.30955 -25.46551
80330180 -49.31764 -25.46881
80330190 -49.30572 -25.4651
80330200 -49.31156 -25.46713
80330210 -49.30552 -25.46567
80330230 -49.30315 -25.46558
80330240 -49.30882 -25.46748
80330250 -49.30609 -25.4678
80330260 -49.31195 -25.46951
80330270 -49.31301 -25.47095
80330280 -49.31048 -25.47107
80330290 -49.30836 -25.47204
80330300 -49.30454 -25.46846
80330310 -49.30696 -25.46949
80330320 -49.30143 -25.46983
80330330 -49.30001 -25.46798
80330340 -49.30221 -25.4712
80330350 -49.30214 -25.47232
80330380 -49.31155 -25.47255
80410000 -49.28034 -25.43002
80410001 -49.28087 -25.43069
80410010 -49.28034 -25.43002
80410020 -49.28087 -25.42323
80410030 -49.28115 -25.42587
80410040 -49.2802 -25.42546
80410050 -49.27909 -25.42467
80410060 -49.27946 -25.42638
80410064 -49.28034 -25.43002
80410070 -49.28016 -25.42801
80410080 -49.28034 -25.43002
80410090 -49.2816 -25.42911
80410100 -49.27576 -25.42752
80410110 -49.27978 -25.42881
80410120 -49.2808 -25.43083
80410123 -49.28034 -25.43002
80410140 -49.27514 -25.42882
80410150 -49.27367 -25.42947
80410151 -49.27864 -25.43117
80410160 -49.28034 -25.43002
80410170 -49.27548 -25.43055
80410180 -49.27707 -25.43196
80410190 -49.27473 -25.43125
80410200 -49.28115 -25.42587
80410201 -49.27802 -25.43232
80410210 -49.27863 -25.42835
80410220 -49.27782 -25.42804
80410230 -49.27608 -25.42909
80410240 -49.27469 -25.42979
80410250 -49.28034 -25.43002
80410260 -49.27626 -25.43465
80410901 -49.28034 -25.43002
80410905 -49.28034 -25.43002
80411980 -49.31743 -25.42354
80420000 -49.28668 -25.43825
80420010 -49.27918 -25.43421
80420011 -49.28565 -25.43677
80420030 -49.28831 -25.43918
80420040 -49.28718 -25.43913
80420050 -49.28743 -25.43999
80420060 -49.28408 -25.43829
80420080 -49.27715 -25.43679
80420090 -49.28791 -25.44253
80420100 -49.28025 -25.43948
80420120 -49.27657 -25.43799
80420130 -49.29547 -25.4314
80420140 -49.28953 -25.43975
80420150 -49.28775 -25.4397
80420160 -49.28237 -25.44384
80420162 -49.28355 -25.43451
80420164 -49.27829 -25.44117
80420170 -49.28408 -25.43829
80420180 -49.28612 -25.43413
80420184 -49.28668 -25.43825
80420190 -49.28668 -25.43825
80420200 -49.27983 -25.43669
80420210 -49.27812 -25.43514
80420230 -49.28668 -25.43825
80420906 -49.28668 -25.43825
80420981 -49.28668 -25.43825
80430000 -49.28795 -25.43011
80430010 -49.28892 -25.42284
80430020 -49.28795 -25.43011
80430030 -49.28712 -25.42323
80430040 -49.28533 -25.42418
80430042 -49.29082 -25.42424
80430050 -49.28714 -25.42673
80430060 -49.2865 -25.42799
80430080 -49.28585 -25.42942
80430090 -49.28795 -25.43011
80430100 -49.28605 -25.42897
80430110 -49.28761 -25.43095
80430120 -49.28516 -25.43092
80430126 -49.28795 -25.43011
80430130 -49.28232 -25.43051
80430140 -49.28203 -25.43115
80430150 -49.28408 -25.43335
80430152 -49.28795 -25.43011
80430160 -49.28408 -25.43335
80430170 -49.28795 -25.43011
80430180 -49.28355 -25.43451
80430190 -49.28885 -25.43144
80430200 -49.28795 -25.43011
80430210 -49.28466 -25.42845
80430220 -49.28459 -25.42572
80430230 -49.28795 -25.43011
80430232 -49.28795 -25.43011
80430234 -49.28232 -25.43051
80430240 -49.28795 -25.43011
80430270 -49.28795 -25.43011
80430980 -49.28795 -25.43011
80440000 -49.29682 -25.44163
80440010 -49.29425 -25.43936
80440020 -49.29749 -25.44142
80440030 -49.29963 -25.44245
80440040 -49.29682 -25.44163
80440050 -49.29688 -25.44356
80440060 -49.29682 -25.44163
80440070 -49.29609 -25.44441
80440080 -49.29614 -25.44629
80440100 -49.30278 -25.44945
80440110 -49.3037 -25.44693
80440120 -49.30261 -25.44746
80440130 -49.30346 -25.4442
80440140 -49.30143 -25.44534
80440150 -49.30049 -25.44497
80440170 -49.29769 -25.44439
80440190 -49.29697 -25.44246
80440195 -49.29682 -25.44163
80440200 -49.29619 -25.44417
80440220 -49.29509 -25.4348
80440970 -49.29682 -25.44163
80510000 -49.28034 -25.42023
80510010 -49.27659 -25.4265
80510020 -49.28266 -25.42275
80510030 -49.27379 -25.42648
80510040 -49.27511 -25.42518
80510070 -49.27408 -25.42473
80510090 -49.2792 -25.42214
80510100 -49.27775 -25.42161
80510110 -49.28126 -25.41971
80510120 -49.28034 -25.42023
80510130 -49.2859 -25.4196
80510140 -49.2839 -25.41878
80510150 -49.28034 -25.42023
80510160 -49.27943 -25.41875
80510170 -49.28196 -25.41718
80510180 -49.28046 -25.41655
80510190 -49.27177 -25.42684
80510200 -49.28034 -25.42023
80510220 -49.27423 -25.42371
80510240 -49.27511 -25.42518
80510250 -49.27577 -25.42346
80510280 -49.27735 -25.4232
80510300 -49.27817 -25.42234
80510310 -49.2792 -25.42214
80510320 -49.28004 -25.42114
80510325 -49.27861 -25.41994
80510330 -49.28126 -25.41971
80510340 -49.2828 -25.42025
80510342 -49.2846 -25.42113
80510346 -49.28034 -25.42023
80510350 -49.28426 -25.41995
80510360 -49.28462 -25.41535
80510362 -49.28363 -25.41782
80510380 -49.28034 -25.42023
80510390 -49.28034 -25.42023
80520000 -49.27781 -25.41449
80520010 -49.27467 -25.42055
80520020 -49.27511 -25.4208
80520030 -49.27519 -25.4191
